lat,lng,Name_Station,Type_Station,Line_Station,check
13.9064,100.5158,เลี่ยงเมืองปากเกร็ด,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8892,100.5106,สามัคคี,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8986,100.5071,กรมชลประทาน,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.9064,100.5054,แยกปากเกร็ด,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8625,100.5208,แคราย,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.9006,100.5399,ศรีรัช,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.9041,100.5292,แจ้งวัฒนะ-ปากเกร็ด 28,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8742,100.5163,สนามบินน้ำ,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8598,100.5181,ศูนย์ราชการนนทบุรี,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8932,100.5604,แจ้งวัฒนะ 14,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8907,100.5673,ศูนย์ราชการเฉลิมพระเกียรติ,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8975,100.5483,เมืองทองธานี,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8841,100.5826,หลักสี่,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8874,100.5758,โทรคมนาคมแห่งชาติ,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8745,100.5972,วัดพระศรีมหาธาตุ,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8798,100.5895,ราชภัฎพระนคร,สถานีรถไฟ,รถไฟฟ้าสายสีชมพู,True
13.8708,100.6029,รามอินทรา 3,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8627,100.6179,ลาดปลาเค้า,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8582,100.6262,รามอินทรา ก.ม.4,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.855,100.6322,มัยลาภ,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.85,100.6416,วัชรพล,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8452,100.6503,รามอินทรา ก.ม.6,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8246,100.677,วงแหวนรามอินทรา,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8405,100.6591,คู้บอน,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8338,100.6675,รามอินทรา ก.ม.9,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8127,100.7034,บางชัน,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8166,100.6856,นพรัตน์,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8085,100.7327,มีนบุรี,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8125,100.7257,ตลาดมีนบุรี,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
13.8127,100.7132,เศรษฐบุตรบำเพ็ญ,สถานีรถไฟรางเดี่ยว,รถไฟฟ้าสายสีชมพู,True
